Ref,Val,Package,PosX,PosY,Rot,Side
"1kR1","R","R_0805_2012Metric",129.500000,-55.500000,90.000000,bottom
"4.7k_ohm1","R","R_0402_1005Metric",80.250000,-72.750000,90.000000,bottom
"4.7k_ohm2","R","R_0402_1005Metric",76.500000,-72.750000,-90.000000,bottom
"100kR1","R","R_0805_2012Metric",134.500000,-55.250000,-90.000000,bottom
"1000uf25V1","C_US","CP_Elec_10x12.5",176.450000,-62.600000,180.000000,bottom
"1000uf25V2","C_US","CP_Elec_10x12.5",204.750000,-62.600000,0.000000,bottom
"1000uf25V3","C_US","CP_Elec_10x12.5",191.000000,-62.850000,180.000000,bottom
"A1","Arduino_Nano_v3.x","Arduino_Nano",70.880000,-69.000000,90.000000,bottom
"D1","1N4148","D_SOD-123",157.750000,-55.500000,90.000000,bottom
"D2","1N4148","D_SOD-123",158.250000,-70.500000,-90.000000,bottom
"D3","1N4148","D_SOD-123",152.500000,-55.600000,-90.000000,bottom
"D4","1N4148","D_SOD-123",158.250000,-63.750000,90.000000,bottom
"D5","1N4148","D_SOD-123",44.750000,-73.750000,180.000000,bottom
"D6","1N4148","D_SOD-123",167.750000,-55.750000,90.000000,bottom
"D7","1N4148","D_SOD-123",216.500000,-56.600000,90.000000,bottom
"D8","1N4148","D_SOD-123",213.000000,-56.600000,90.000000,bottom
"D9","1N4148","D_SOD-123",162.250000,-62.250000,-90.000000,bottom
"D10","1N4148","D_SOD-123",163.750000,-55.250000,-90.000000,bottom
"D11","1N4148","D_SOD-123",219.500000,-60.250000,-90.000000,bottom
"D12","1N4148","D_SOD-123",219.500000,-67.250000,90.000000,bottom
"Fuse1","Fuse","FUSE_3560",101.250000,-63.250000,180.000000,bottom
"J1","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",137.050000,-66.600000,180.000000,bottom
"J2","Conn_01x02_Pin","ScrewTerminal_Vertical_1935310",118.000000,-67.950001,0.000000,bottom
"J3","Barrel_Jack_Switch","BarrelJack_CUI_PJ-063AH_Horizontal",82.000000,-65.000000,0.000000,bottom
"J4","Conn_01x02_Pin","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",147.150000,-66.600000,180.000000,bottom
"Q1","PMOS","TO-252-3_TabPin2",121.340000,-56.427500,0.000000,bottom
